product_id,product_type,protein_pct,carbs_g,fat_g,moisture_pct,bcaa_g,leucine_g,solubility_index,denaturation_pct,odor_score,flavor_score,lead_ppm,cadmium_ppm,quality_label
WPB1,concentrate,78.51,0,2.41,4.16,17.6,6.53,65.66177152,12.98967294,5.129982777,7.394709988,0.0004,0.0015,Medium
WPB2,blend,64.59,4.94,2.04,5.93,16.29,5.7,32.05943121,29.08610493,2.68012147,2.469242134,0.0141,0.0067,Low
WPB3,concentrate,89.41,3.18,2.16,4.15,21.27,8.37,95.61814279,9.183802011,8.414354716,7.676068197,0.0117,0.0006,High
WPB4,blend,54.4,5.74,4.05,3.32,14.25,4.99,40.47807735,31.70615253,2.282427093,2.928271018,0.0012,0.0058,Low
WPB5,isolate,74.34,6.99,1.79,3.49,14.22,5.24,81.01528633,20.36817408,6.866566786,4.936367746,0.017,0.005,Medium
WPB6,concentrate,55.5,7.27,1.08,3.25,10.58,3.6,43.30554001,12.23448721,3.240617925,4.050101835,0.0107,0.0087,Low
WPB7,concentrate,84.52,4.15,1.63,5.09,16.05,6.14,92.54696616,6.399553558,9.275254058,9.184053901,0.0072,0.0075,High
WPB8,blend,59.22,4.59,,3.28,12.99,4.88,44.69490541,30.11876455,3.95909855,5.315275965,0.0207,0.0082,Low
WPB9,blend,69.6,4.55,1.8,5.14,17.66,7.24,70.87476333,17.35081494,4.664774972,5.901145361,0.0033,0.0012,Medium
WPB10,blend,91.35,2.49,1.08,3.8,18.7,7.36,90.54357634,6.772330843,8.304562034,8.001701687,0.0125,0.002,High
WPB11,blend,86.91,4.22,3.95,2.67,17.64,6.85,94.96469094,0,9.539639615,8.631795494,0.0261,0.0012,High
WPB12,concentrate,79.15,1.11,2.14,3.24,18.18,7.1,82.70349558,19.44753196,7.867958972,4.238203627,0.0115,0.002,Medium
WPB13,isolate,67.63,4.74,3.08,3.23,13.15,5.28,64.10874576,15.72974979,4.833870782,5.930905866,0.0058,0.0074,Medium
WPB14,isolate,79.12,3,,4.49,17.48,6.3,82.57259585,10.62568805,6.613688358,5.554858086,0.0241,0.0043,Medium
WPB15,isolate,81.81,5.87,2.67,5.53,18.82,7.18,68.53543981,13.43423841,7.410951481,5.676566066,0.0076,0.0007,Medium
WPB16,isolate,68.59,6.95,2.58,2.88,15.1,5.71,61.36596506,13.75307515,4.626711678,6.030803989,0.0063,0.0041,Medium
WPB17,blend,87.66,0,4.37,2.96,18.88,7.77,93.09768104,7.15746864,9.336087367,9.347410493,0.0162,0.0027,High
WPB18,concentrate,76.67,5.17,4.86,2.61,17.9,6.2,74.76505695,13.90973475,8.473810454,6.554325196,0.0035,0.0009,Medium
WPB19,concentrate,57.69,9.54,,2.86,14.51,5.27,62.53763584,32.77290387,5.400562889,4.498402687,0.0112,0.0053,Low
WPB20,concentrate,73.3,4.01,8.09,2.95,16.47,6.03,59.25549951,21.56206079,5.280719857,7.080308348,0.0162,0.007,Medium
WPB21,blend,51.39,0.29,2.66,4.44,13.91,4.96,37.3561162,32.71483556,3.021581779,2.02218362,0.0049,0.0016,Low
WPB22,concentrate,88.76,2.48,2.23,5.62,20.52,7.09,84.01144466,6.25446213,9.284360074,8.164953303,0.0086,0,High
WPB23,blend,76.76,5.93,0.62,4.42,18.27,6.81,70.85089995,16.84460659,5.798787604,6.654735253,0.0046,0.0001,Medium
WPB24,concentrate,50.61,6.73,4.97,4.6,10.36,3.63,62.9170006,25.91285425,4.926417746,5.868323374,0.0089,0.0049,Low
WPB25,isolate,70.87,3.12,1.54,4.18,15.71,6.16,63.68307298,10.01325506,6.515472628,6.061836746,0.014,0.0001,Medium
WPB26,blend,81.06,5.59,6.29,4.79,19.17,7.21,78.366691,15.43695518,7.519337377,6.207496871,0.0067,0.001,Medium
WPB27,concentrate,88.32,7.92,2.53,5.22,19.58,7.73,90.17839642,11.45477015,7.954619179,9.289878526,0.0319,0.0034,High
WPB28,isolate,39.1,5.01,2.64,6.4,9.29,3.75,43.74793147,34.17859307,3.755993962,5.013210789,0.0043,0.0016,Low
WPB29,isolate,81.09,6.61,7.12,3.86,18.4,7.45,65.87133162,16.76475716,5.528597253,6.725338571,0.008,0.0017,Medium
WPB30,isolate,50.82,6.08,2.85,4.1,11.58,4.48,63.98897397,18.49489857,2.994719254,3.792525167,0.0051,0.0033,Low
WPB31,blend,88.2,5.4,1.14,3.46,22.06,7.93,79.04892443,11.00758857,7.492091261,7.348692222,0.0088,0.0004,High
WPB32,blend,89.12,0.12,2.85,5.1,18.57,6.7,83.16020431,4.87499694,8.144450984,8.310766971,0.007,0.0038,High
